customer_id,customer_name,city,acquisition_channel,last_order_date,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_score,segment
CUST-0023,Cahya Maulana,Semarang,Instagram Ads,2025-12-17,15,7,3183050,5,4,5,545,Champions
CUST-0024,Wulan Wijaya,Jakarta,Referral,2025-12-02,30,3,859000,4,2,3,423,Potential Loyalist
CUST-0025,Guntur Nugroho,Solo,Instagram Ads,2025-07-05,180,5,868600,2,3,3,233,At-Risk
CUST-0026,Putri Handoko,Jakarta,Marketplace,2025-12-12,20,4,1650750,4,3,4,434,Potential Loyalist
CUST-0027,Erik Pratama,Surabaya,Marketplace,2025-11-17,45,13,4244100,4,5,5,455,Champions
CUST-0028,Guntur Wibowo,Bandar Lampung,Marketplace,2025-12-28,4,4,1776150,5,3,4,534,Potential Loyalist
CUST-0029,Beni Anggraini,Jakarta,Instagram Ads,2025-12-22,10,8,1536400,5,4,4,544,Champions
CUST-0030,Tono Saputra,Tangerang,Marketplace,2025-07-27,158,1,105000,2,1,1,211,Lost
CUST-0031,Mega Suryadi,Medan,TikTok Ads,2025-11-18,44,1,622400,4,1,2,412,Potential Loyalist
CUST-0032,Lukman Santoso,Bogor,Google Search,2024-05-30,581,2,535000,1,1,2,112,Lost
CUST-0033,Nadia Wijaya,Denpasar,Google Search,2025-05-19,227,1,80100,2,1,1,211,Lost
CUST-0034,Nanda Ramadhan,Surabaya,Referral,2025-12-30,2,19,6583000,5,5,5,555,Champions
CUST-0035,Vina Kurniawan,jakarta,Referral,2025-11-30,32,4,1281300,4,3,3,433,Potential Loyalist
CUST-0036,Eka Setiawan,Jakarta,Instagram Ads,2025-11-28,34,13,3643450,4,5,5,455,Champions
CUST-0037,Kartika Anggraini,Bandung,Organic Social,2025-06-16,199,4,2146000,2,3,4,234,At-Risk
CUST-0038,Kevin Ramadhan,Tangerang,Instagram Ads,2025-11-08,54,3,292550,3,2,1,321,Needs Attention
CUST-0039,Joko Hidayat,Malang,Instagram Ads,2025-08-19,135,6,2535000,2,4,4,244,Loyal
CUST-0040,Hesti Suryadi,Jakarta,Instagram Ads,2025-11-15,47,7,2858350,4,4,5,445,Champions
CUST-0041,Cindy Pratama,Palembang,TikTok Ads,2025-11-10,52,10,2299300,3,5,4,354,Loyal
CUST-0042,Citra Setiawan,Jakarta,Instagram Ads,2025-03-03,304,3,511400,1,2,2,122,Lost
CUST-0043,Krisna Halim,Unknown,TikTok Ads,2025-12-29,3,4,976600,5,3,3,533,Potential Loyalist
CUST-0044,Cindy Marliana,Jakarta,TikTok Ads,2025-12-23,9,11,3908600,5,5,5,555,Champions
CUST-0045,Bayu Hartono,Denpasar,Referral,2025-11-26,36,14,2900200,4,5,5,455,Champions
CUST-0046,Hilda Maulana,Bandar Lampung,Instagram Ads,2025-08-28,126,5,1040400,2,3,3,233,At-Risk
CUST-0047,Guntur Sukmawati,Tangerang,Organic Social,2025-04-19,257,5,1326300,1,3,3,133,At-Risk
CUST-0048,Oki Saputra,Bandung,Organic Social,2025-06-24,191,7,1987500,2,4,4,244,Loyal
CUST-0049,Sinta Saputra,Yogyakarta,TikTok Ads,2025-03-30,277,1,298000,1,1,1,111,Lost
CUST-0050,Hesti Wibowo,Bandung,Referral,2025-11-19,43,4,1657000,4,3,4,434,Potential Loyalist
CUST-0051,Rangga Kusuma,Bogor,Google Search,2025-12-23,9,21,6294400,5,5,5,555,Champions
CUST-0052,Beni Lestari,Solo,TikTok Ads,2025-10-14,79,3,729500,3,2,2,322,Needs Attention
CUST-0053,Cindy Cahyani,Solo,TikTok Ads,2025-12-17,15,2,530200,5,1,2,512,Potential Loyalist
CUST-0054,Maya Gunawan,Semarang,TikTok Ads,2025-12-18,14,8,2181400,5,4,4,544,Champions
CUST-0055,Wulan Marliana,Pekanbaru,TikTok Ads,2025-11-25,37,7,1710450,4,4,4,444,Champions
CUST-0056,Indra Saputra,Bandung,TikTok Ads,2025-12-27,5,2,562500,5,1,2,512,Potential Loyalist
CUST-0057,Erik Pratama,Pekanbaru,TikTok Ads,2025-10-08,85,4,670150,3,3,2,332,Needs Attention
CUST-0058,Doni Ramadhan,Jakarta,Instagram Ads,2025-12-24,8,5,1192000,5,3,3,533,Potential Loyalist
CUST-0059,Prita Hartono,Yogyakarta,TikTok Ads,2025-04-15,261,2,1474200,1,1,3,113,Lost
CUST-0060,Joko Pratama,Depok,Instagram Ads,2025-12-02,30,4,732500,4,3,2,432,Potential Loyalist
CUST-0061,Vero Cahyani,Solo,TikTok Ads,2025-03-04,303,2,855000,1,1,3,113,Lost
CUST-0062,Guntur Darmawan,Surabaya,Organic Social,2025-12-31,1,9,2359850,5,4,4,544,Champions
CUST-0063,Dewi Setiawan,Bekasi,Instagram Ads,2025-10-08,85,3,1460250,3,2,3,323,Needs Attention
CUST-0064,Krisna Hartono,Bogor,TikTok Ads,2025-10-29,64,9,2106300,3,4,4,344,Loyal
CUST-0065,Citra Prakoso,Bekasi,Marketplace,2025-12-05,27,18,4091000,4,5,5,455,Champions
CUST-0066,Zahra Utami,Surabaya,Organic Social,2025-11-13,49,4,728800,4,3,2,432,Potential Loyalist
CUST-0067,Eka Cahyani,Unknown,Instagram Ads,2025-06-03,212,1,495000,2,1,2,212,Lost
CUST-0068,Oki Wibowo,Bandung,Referral,2025-02-06,329,1,114000,1,1,1,111,Lost
CUST-0069,Bayu Wijaya,Tangerang,Instagram Ads,2024-11-07,420,3,979150,1,2,3,123,Lost
CUST-0070,Zahra Purnama,Surabaya,TikTok Ads,2025-10-19,74,3,851300,3,2,3,323,Needs Attention
CUST-0071,Erik Maulana,Jakarta,TikTok Ads,2025-10-14,79,4,702750,3,3,2,332,Needs Attention
CUST-0072,Bagus Wibowo,Tangerang,TikTok Ads,2024-05-20,591,2,1068000,1,1,3,113,Lost
CUST-0073,Indra Hartono,Denpasar,TikTok Ads,2025-10-08,85,2,666900,3,1,2,312,Needs Attention
CUST-0074,Indra Handoko,Palembang,TikTok Ads,2025-12-25,7,7,1807250,5,4,4,544,Champions
CUST-0075,Zahra Marliana,Jakarta,TikTok Ads,2025-03-08,299,2,726950,1,1,2,112,Lost
CUST-0076,Yoga Setiawan,Bekasi,Instagram Ads,2025-12-15,17,3,751000,5,2,2,522,Potential Loyalist
CUST-0077,Cindy Darmawan,Pekanbaru,Instagram Ads,2025-12-10,22,17,4164750,4,5,5,455,Champions
CUST-0078,Sinta Nugroho,Bandung,Google Search,2025-07-19,166,2,710400,2,1,2,212,Lost
CUST-0079,Yoga Cahyani,Unknown,Instagram Ads,2025-08-10,144,11,3286900,2,5,5,255,Loyal
CUST-0080,Laras Ramadhan,Depok,Marketplace,2025-12-23,9,18,7487750,5,5,5,555,Champions
CUST-0081,Putri Nugroho,Surabaya,Referral,2025-06-18,197,5,912250,2,3,3,233,At-Risk
CUST-0082,Yuni Setiawan,bandung,TikTok Ads,2025-12-07,25,5,1397000,4,3,3,433,Potential Loyalist
CUST-0083,Dinda Suryadi,Surabaya,Instagram Ads,2025-12-06,26,6,1232850,4,4,3,443,Champions
CUST-0084,Ivan Firmansyah,Balikpapan,Instagram Ads,2025-12-10,22,2,1968000,4,1,4,414,Potential Loyalist
CUST-0085,Wulan Purnama,Depok,Instagram Ads,2025-12-17,15,5,1399300,5,3,3,533,Potential Loyalist
CUST-0086,Endah Purnama,Bogor,Google Search,2024-05-24,587,1,1620000,1,1,4,114,Lost
CUST-0087,Nanda Gunawan,Surabaya,Organic Social,2025-11-06,56,2,287800,3,1,1,311,Needs Attention
CUST-0088,Fajar Utami,Bandung,Referral,2025-12-25,7,11,2923700,5,5,5,555,Champions
CUST-0089,Doni Yulianti,Yogyakarta,Instagram Ads,2025-11-14,48,11,3409800,4,5,5,455,Champions
CUST-0090,Zaki Suryadi,Bandung,Google Search,2025-11-29,33,9,2697200,4,4,5,445,Champions
CUST-0091,Umar Hidayat,Bandung,Instagram Ads,2025-09-09,114,3,490800,2,2,2,222,Lost
CUST-0092,Ulfa Kusuma,Tangerang,Instagram Ads,2025-12-01,31,20,5660200,4,5,5,455,Champions
CUST-0093,Tono Nugroho,bekasi,Organic Social,2025-07-24,161,4,853600,2,3,3,233,At-Risk
CUST-0094,Indra Hidayat,Bandung,Instagram Ads,2025-08-20,134,8,2457600,2,4,4,244,Loyal
CUST-0095,Zahra Suryadi,Jakarta,Instagram Ads,2025-06-08,207,5,1476000,2,3,3,233,At-Risk
CUST-0096,Dewi Hidayat,Jakarta,Marketplace,2025-12-10,22,2,651000,4,1,2,412,Potential Loyalist
CUST-0097,Taufik Wijaya,Yogyakarta,Instagram Ads,2025-07-12,173,3,479000,2,2,2,222,Lost
CUST-0098,Zahra Maulana,Depok,Google Search,2024-03-09,663,1,85000,1,1,1,111,Lost
CUST-0099,Doni Permana,Depok,Organic Social,2025-09-21,102,5,1504000,3,3,4,334,Needs Attention
CUST-0100,Yoga Nugroho,Solo,Marketplace,2025-02-19,316,5,811000,1,3,3,133,At-Risk
CUST-0101,Lukman Setiawan,Jakarta,Instagram Ads,2024-09-18,470,1,810000,1,1,3,113,Lost
CUST-0102,Oki Permana,Jakarta,Referral,2025-11-10,52,4,1463000,3,3,3,333,Needs Attention
CUST-0103,Beni Yulianti,Tangerang,Google Search,2025-12-28,4,12,3346250,5,5,5,555,Champions
CUST-0104,Joko Kurniawan,Denpasar,Instagram Ads,2025-04-23,253,1,290000,1,1,1,111,Lost
CUST-0105,Dinda Purnama,Jakarta,Marketplace,2025-12-04,28,9,2915900,4,4,5,445,Champions
CUST-0106,Sari Rahayu,surabaya,TikTok Ads,2025-09-18,105,2,608000,3,1,2,312,Needs Attention
CUST-0107,Rangga Pratama,Surabaya,Instagram Ads,2025-02-08,327,3,529000,1,2,2,122,Lost
CUST-0108,Taufik Prakoso,Balikpapan,Instagram Ads,2025-12-22,10,14,2796050,5,5,5,555,Champions
CUST-0109,Sari Kusuma,Jakarta,Marketplace,2025-09-19,104,5,1159750,3,3,3,333,Needs Attention
CUST-0110,Wawan Lestari,Surabaya,Referral,2025-06-13,202,1,338200,2,1,1,211,Lost
CUST-0111,Ayu Prakoso,Bogor,Referral,2025-03-28,279,4,671750,1,3,2,132,At-Risk
CUST-0112,Anwar Wibowo,Jakarta,Organic Social,2024-11-23,404,1,247500,1,1,1,111,Lost
CUST-0113,Dewi Saputra,Bogor,TikTok Ads,2024-12-19,378,3,724600,1,2,2,122,Lost
CUST-0114,Sari Setiawan,Makassar,Instagram Ads,2025-08-16,138,2,438250,2,1,2,212,Lost
CUST-0115,Putri Cahyani,Bandung,Instagram Ads,2025-11-13,49,11,3100400,4,5,5,455,Champions
CUST-0116,Jasmine Nugroho,Semarang,TikTok Ads,2025-12-29,3,14,3213850,5,5,5,555,Champions
CUST-0117,Vero Hidayat,Jakarta,TikTok Ads,2025-11-13,49,5,2721600,4,3,5,435,Potential Loyalist
CUST-0118,Maya Kurniawan,Yogyakarta,Google Search,2025-09-14,109,2,919500,2,1,3,213,Lost
CUST-0119,Farah Maulana,Bekasi,TikTok Ads,2025-12-30,2,9,2120500,5,4,4,544,Champions
CUST-0120,Erik Purnama,Depok,Google Search,2025-12-27,5,7,1023550,5,4,3,543,Champions
CUST-0121,Krisna Darmawan,Denpasar,TikTok Ads,2025-09-18,105,3,1611300,3,2,4,324,Needs Attention
CUST-0122,Rizky Utami,Yogyakarta,Organic Social,2025-08-25,129,1,115000,2,1,1,211,Lost
CUST-0123,Rizky Wibowo,Surabaya,Marketplace,2025-12-20,12,19,6323600,5,5,5,555,Champions
CUST-0124,Mega Lestari,Depok,Organic Social,2025-07-06,179,1,114000,2,1,1,211,Lost
CUST-0125,Joko Maulana,Malang,Organic Social,2025-03-05,302,1,122000,1,1,1,111,Lost
CUST-0126,Ulfa Wibowo,Balikpapan,Google Search,2025-11-14,48,3,720200,4,2,2,422,Potential Loyalist
CUST-0127,Hilda Darmawan,Bogor,TikTok Ads,2025-12-01,31,4,830500,4,3,3,433,Potential Loyalist
CUST-0128,Oki Sukmawati,Semarang,Instagram Ads,2025-10-31,62,10,3693650,3,5,5,355,Loyal
CUST-0129,Bagus Wijaya,Solo,TikTok Ads,2025-06-11,204,3,777500,2,2,2,222,Lost
CUST-0130,Bayu Purnama,Jakarta,Referral,2025-04-22,254,1,110000,1,1,1,111,Lost
CUST-0131,Putri Suryadi,Jakarta,Marketplace,2025-11-25,37,9,2553050,4,4,4,444,Champions
CUST-0132,Adit Marliana,Jakarta,Organic Social,2025-08-01,153,2,481000,2,1,2,212,Lost
CUST-0133,Mega Permana,Palembang,Google Search,2025-12-27,5,14,3259950,5,5,5,555,Champions
CUST-0134,Rizky Handoko,Surabaya,TikTok Ads,2025-12-18,14,2,378600,5,1,1,511,Potential Loyalist
CUST-0135,Tono Pratama,Jakarta,Marketplace,2025-12-21,11,10,3585950,5,5,5,555,Champions
CUST-0136,Dewi Kurniawan,denpasar,Google Search,2025-10-01,92,8,2909300,3,4,5,345,Loyal
CUST-0137,Yuni Utami,Yogyakarta,Google Search,2025-09-14,109,7,1865750,2,4,4,244,Loyal
CUST-0138,Umar Yulianti,Makassar,TikTok Ads,2025-12-23,9,6,1129000,5,4,3,543,Champions
CUST-0139,Bayu Kusuma,Medan,Instagram Ads,2025-02-27,308,2,418300,1,1,2,112,Lost
CUST-0140,Rangga Kurniawan,Depok,Organic Social,2025-07-19,166,6,1066800,2,4,3,243,Loyal
CUST-0141,Endah Santoso,Yogyakarta,Instagram Ads,2025-09-18,105,8,2327300,3,4,4,344,Loyal
CUST-0142,Fajar Yulianti,Balikpapan,TikTok Ads,2025-04-06,270,1,192000,1,1,1,111,Lost
CUST-0143,Rangga Purnama,Bandung,TikTok Ads,2025-11-26,36,5,1085400,4,3,3,433,Potential Loyalist
CUST-0144,Omar Marliana,Makassar,Marketplace,2025-08-07,147,3,376100,2,2,1,221,Lost
CUST-0145,Jasmine Cahyani,Bandung,TikTok Ads,2025-08-09,145,7,1929550,2,4,4,244,Loyal
CUST-0146,Galih Nugroho,Surabaya,Instagram Ads,2025-11-26,36,5,1299350,4,3,3,433,Potential Loyalist
CUST-0147,Yoga Cahyani,Malang,Marketplace,2025-08-27,127,7,850200,2,4,3,243,Loyal
CUST-0148,Galih Hartono,Surabaya,TikTok Ads,2024-05-31,580,1,190000,1,1,1,111,Lost
CUST-0149,Putri Handoko,Pekanbaru,TikTok Ads,2025-11-24,38,5,1028500,4,3,3,433,Potential Loyalist
CUST-0150,Ayu Hidayat,Solo,Instagram Ads,2025-04-20,256,5,1494900,1,3,4,134,At-Risk
CUST-0151,Nadia Pratama,Jakarta,Instagram Ads,2025-11-13,49,10,4117900,4,5,5,455,Champions
CUST-0152,Zahra Setiawan,Bandung,Instagram Ads,2025-08-31,123,1,230000,2,1,1,211,Lost
CUST-0153,Nadia Pratama,Jakarta,Instagram Ads,2025-08-21,133,9,2126250,2,4,4,244,Loyal
CUST-0154,Sinta Handoko,Solo,Instagram Ads,2025-05-05,241,2,662250,1,1,2,112,Lost
CUST-0155,Dewi Halim,Jakarta,Referral,2025-03-11,296,1,778000,1,1,2,112,Lost
CUST-0156,Mega Nugroho,Semarang,TikTok Ads,2025-05-01,245,5,3208000,1,3,5,135,At-Risk
CUST-0157,Endah Firmansyah,Jakarta,Marketplace,2025-10-25,68,1,126000,3,1,1,311,Needs Attention
CUST-0158,Galih Cahyani,Jakarta,Marketplace,2025-12-24,8,10,3307900,5,5,5,555,Champions
CUST-0159,Sari Hartono,Jakarta,Google Search,2025-05-15,231,2,695000,2,1,2,212,Lost
CUST-0160,Endah Rahayu,Semarang,Google Search,2024-12-10,387,3,736500,1,2,2,122,Lost
CUST-0161,Krisna Sukmawati,Jakarta,Organic Social,2025-10-24,69,9,1801450,3,4,4,344,Loyal
CUST-0162,Bayu Sukmawati,surabaya,Instagram Ads,2025-10-23,70,4,2166550,3,3,4,334,Needs Attention
CUST-0163,Faisal Santoso,Surabaya,Instagram Ads,2025-12-27,5,10,2362000,5,5,4,554,Champions
CUST-0164,Indra Setiawan,Jakarta,Instagram Ads,2025-07-31,154,3,786150,2,2,2,222,Lost
CUST-0165,Guntur Ramadhan,Balikpapan,Marketplace,2025-12-18,14,3,870000,5,2,3,523,Potential Loyalist
CUST-0166,Gita Purnama,Surabaya,TikTok Ads,2025-12-24,8,4,516700,5,3,2,532,Potential Loyalist
CUST-0167,Krisna Gunawan,Jakarta,Instagram Ads,2025-12-18,14,5,957600,5,3,3,533,Potential Loyalist
CUST-0168,Dinda Hartono,Bandung,Google Search,2025-12-25,7,13,4117900,5,5,5,555,Champions
CUST-0169,Sari Pratama,Makassar,Instagram Ads,2025-12-06,26,7,2651100,4,4,5,445,Champions
CUST-0170,Guntur Halim,tangerang,Google Search,2025-06-22,193,1,65000,2,1,1,211,Lost
CUST-0171,Ivan Saputra,Surabaya,TikTok Ads,2024-09-30,458,2,528800,1,1,2,112,Lost
CUST-0172,Laras Hartono,Yogyakarta,Instagram Ads,2025-05-14,232,2,665000,1,1,2,112,Lost
CUST-0173,Sari Anggraini,Jakarta,Google Search,2024-08-02,517,4,807500,1,3,2,132,At-Risk
CUST-0174,Hana Gunawan,Yogyakarta,TikTok Ads,2025-12-05,27,6,1747300,4,4,4,444,Champions
CUST-0175,Ayu Hartono,Bandung,Instagram Ads,2025-06-07,208,2,490300,2,1,2,212,Lost
CUST-0176,Vina Nugroho,Jakarta,Instagram Ads,2025-04-02,274,1,118000,1,1,1,111,Lost
CUST-0177,Hesti Setiawan,Bekasi,Organic Social,2025-08-27,127,10,3602900,2,5,5,255,Loyal
CUST-0178,Bagus Anggraini,Depok,Marketplace,2025-03-27,280,2,788000,1,1,2,112,Lost
CUST-0179,Bayu Permana,Malang,Instagram Ads,2025-12-28,4,9,2988850,5,4,5,545,Champions
CUST-0180,Ulfa Kurniawan,jakarta,TikTok Ads,2025-08-18,136,2,372000,2,1,1,211,Lost
CUST-0181,Fajar Wibowo,Surabaya,Organic Social,2025-10-09,84,4,2454600,3,3,4,334,Needs Attention
CUST-0182,Prita Nugroho,Bekasi,TikTok Ads,2024-01-06,726,1,349000,1,1,1,111,Lost
CUST-0183,Joko Utami,Jakarta,Instagram Ads,2025-12-13,19,10,2470500,5,5,4,554,Champions
CUST-0184,Eka Kusuma,Bandung,Marketplace,2025-12-03,29,11,2804250,4,5,5,455,Champions
CUST-0185,Taufik Kurniawan,Makassar,Organic Social,2025-12-17,15,3,1686000,5,2,4,524,Potential Loyalist
CUST-0186,Doni Santoso,Makassar,TikTok Ads,2025-06-25,190,4,1150500,2,3,3,233,At-Risk
CUST-0187,Umar Anggraini,Makassar,TikTok Ads,2024-10-15,443,2,639000,1,1,2,112,Lost
CUST-0188,Hesti Wibowo,Jakarta,TikTok Ads,2025-04-24,252,4,657000,1,3,2,132,At-Risk
CUST-0189,Maya Lestari,Semarang,Google Search,2025-12-29,3,5,1984200,5,3,4,534,Potential Loyalist
CUST-0190,Wawan Cahyani,Yogyakarta,Instagram Ads,2025-11-18,44,13,4877450,4,5,5,455,Champions
CUST-0191,Ivan Rahayu,Denpasar,Google Search,2025-12-05,27,11,3045250,4,5,5,455,Champions
CUST-0192,Nadia Wijaya,Surabaya,Organic Social,2025-12-29,3,4,1495500,5,3,4,534,Potential Loyalist
CUST-0193,Tono Hidayat,Denpasar,Referral,2025-05-08,238,6,1539350,1,4,4,144,Loyal
CUST-0194,Jasmine Gunawan,Denpasar,TikTok Ads,2025-10-08,85,10,2456200,3,5,4,354,Loyal
CUST-0195,Umar Setiawan,Denpasar,TikTok Ads,2025-11-06,56,8,2954900,3,4,5,345,Loyal
CUST-0196,Taufik Kurniawan,Depok,TikTok Ads,2025-11-15,47,16,4022450,4,5,5,455,Champions
CUST-0197,Lukman Saputra,Denpasar,TikTok Ads,2025-11-19,43,2,193500,4,1,1,411,Potential Loyalist
CUST-0198,Tono Handoko,Bekasi,Organic Social,2025-10-28,65,2,1304000,3,1,3,313,Needs Attention
CUST-0199,Wawan Marliana,Semarang,Referral,2025-12-02,30,2,390400,4,1,2,412,Potential Loyalist
CUST-0200,Anwar Hartono,Jakarta,Organic Social,2025-07-06,179,5,2200000,2,3,4,234,At-Risk
CUST-0201,Putri Anggraini,Jakarta,Google Search,2025-12-12,20,8,2359100,4,4,4,444,Champions
CUST-0202,Cahya Yulianti,Bekasi,TikTok Ads,2025-05-21,225,3,567000,2,2,2,222,Lost
CUST-0203,Endah Darmawan,Bogor,Instagram Ads,2025-12-09,23,10,3299300,4,5,5,455,Champions
CUST-0204,Cahya Hartono,Surabaya,Instagram Ads,2025-11-26,36,8,1350200,4,4,3,443,Champions
CUST-0205,Vero Handoko,Bandung,TikTok Ads,2025-12-24,8,12,3320600,5,5,5,555,Champions
CUST-0206,Hesti Halim,Jakarta,Organic Social,2025-07-01,184,3,1543250,2,2,4,224,Lost
CUST-0207,Bayu Wijaya,Jakarta,TikTok Ads,2025-12-27,5,9,2610900,5,4,5,545,Champions
CUST-0208,Vina Kurniawan,Surabaya,Instagram Ads,2025-11-26,36,2,264000,4,1,1,411,Potential Loyalist
CUST-0209,Jasmine Prakoso,Tangerang,TikTok Ads,2025-05-01,245,2,405500,1,1,2,112,Lost
CUST-0210,Bagus Hidayat,bogor,Instagram Ads,2025-11-12,50,11,4645800,4,5,5,455,Champions
CUST-0211,Umar Nugroho,Jakarta,Instagram Ads,2025-11-07,55,3,827000,3,2,3,323,Needs Attention
CUST-0212,Nadia Setiawan,surabaya,Instagram Ads,2025-12-24,8,17,4239800,5,5,5,555,Champions
CUST-0213,Omar Gunawan,Semarang,Instagram Ads,2025-12-28,4,5,835500,5,3,3,533,Potential Loyalist
CUST-0214,Ivan Setiawan,Surabaya,TikTok Ads,2025-06-15,200,2,869000,2,1,3,213,Lost
CUST-0215,Rizky Gunawan,Solo,Instagram Ads,2025-08-13,141,1,115000,2,1,1,211,Lost
CUST-0216,Gita Darmawan,Jakarta,Google Search,2025-10-05,88,9,1911750,3,4,4,344,Loyal
CUST-0217,Reza Kusuma,Bekasi,Organic Social,2025-09-17,106,4,1427550,3,3,3,333,Needs Attention
CUST-0218,Vero Darmawan,Unknown,Marketplace,2025-10-08,85,2,765000,3,1,2,312,Needs Attention
CUST-0219,Vina Kurniawan,Jakarta,TikTok Ads,2025-10-26,67,10,2212050,3,5,4,354,Loyal
CUST-0220,Maya Permana,Surabaya,TikTok Ads,2025-11-24,38,10,3530200,4,5,5,455,Champions
CUST-0221,Hilda Wibowo,Bekasi,Referral,2025-10-20,73,3,890700,3,2,3,323,Needs Attention
CUST-0222,Galih Gunawan,Palembang,Marketplace,2025-08-07,147,3,513000,2,2,2,222,Lost
CUST-0223,Dinda Kusuma,Semarang,TikTok Ads,2025-04-28,248,2,517300,1,1,2,112,Lost
CUST-0224,Nadia Cahyani,Bandung,TikTok Ads,2025-05-07,239,4,1098650,1,3,3,133,At-Risk
CUST-0225,Yuni Hartono,Denpasar,Marketplace,2025-12-20,12,9,2453700,5,4,4,544,Champions
CUST-0226,Hesti Yulianti,Bandung,Referral,2025-03-24,283,2,481500,1,1,2,112,Lost
CUST-0227,Doni Wijaya,Jakarta,Instagram Ads,2025-11-13,49,10,2242200,4,5,4,454,Champions
CUST-0228,Joko Ramadhan,Jakarta,TikTok Ads,2025-04-14,262,2,702050,1,1,2,112,Lost
CUST-0229,Zaki Wibowo,Surabaya,TikTok Ads,,,0,0,,,,,Never Purchased
CUST-0230,Rizky Kurniawan,Bandung,Google Search,2025-03-05,302,3,2220000,1,2,4,124,Lost
CUST-0231,Tono Cahyani,Bandung,Marketplace,2025-09-20,103,10,3637650,3,5,5,355,Loyal
CUST-0232,Irfan Cahyani,Yogyakarta,TikTok Ads,2025-10-29,64,5,837100,3,3,3,333,Needs Attention
CUST-0233,Jihan Permana,Jakarta,Organic Social,2025-11-09,53,1,103500,3,1,1,311,Needs Attention
CUST-0234,Maya Yulianti,Bogor,Instagram Ads,2024-03-22,650,1,190000,1,1,1,111,Lost
CUST-0235,Cahya Setiawan,Depok,Instagram Ads,2024-06-27,553,1,520000,1,1,2,112,Lost
CUST-0236,Ivan Maulana,Malang,Referral,2025-11-18,44,10,3944300,4,5,5,455,Champions
CUST-0237,Doni Anggraini,Bogor,Referral,2025-11-27,35,10,2661700,4,5,5,455,Champions
CUST-0238,Indra Maulana,Bandung,TikTok Ads,2025-12-20,12,8,1724250,5,4,4,544,Champions
CUST-0239,Vina Kurniawan,Malang,Referral,2025-02-06,329,1,290000,1,1,1,111,Lost
CUST-0240,Prita Setiawan,Bandung,Instagram Ads,2025-05-08,238,1,244000,1,1,1,111,Lost
CUST-0241,Mega Halim,Makassar,Instagram Ads,2025-11-11,51,1,93750,3,1,1,311,Needs Attention
CUST-0242,Guntur Pratama,Makassar,Instagram Ads,2025-07-26,159,2,828500,2,1,3,213,Lost
CUST-0243,Bayu Hartono,Pekanbaru,Google Search,2025-12-06,26,8,2312500,4,4,4,444,Champions
CUST-0244,Cahya Yulianti,Yogyakarta,Referral,2025-12-16,16,4,1629200,5,3,4,534,Potential Loyalist
CUST-0245,Faisal Anggraini,Bandung,Instagram Ads,2025-11-03,59,3,477250,3,2,2,322,Needs Attention
